year,month,day,hour,O3_forecast,NO2_forecast,T_forecast,q_forecast,u_forecast,v_forecast,w_forecast,ratio_satellite,O3_target,NO2_target,NO2_satellite_filled,HCHO_satellite_filled
2023.0,7.0,25.0,15.0,33.16,50.56,8.81,5.28,2.67,-0.78,1.27,9.381649014628223,10.87,22.65,0.15523170132634684,1.4563293377873845
2023.0,7.0,25.0,16.0,29.14,58.81,10.57,5.52,2.32,-0.97,1.23,7.08777777529036,11.85,19.38,0.18056124119862454,1.2797779524464532
2023.0,7.0,25.0,17.0,25.12,67.06,9.82,5.76,1.96,-1.16,1.19,5.358309689085135,12.85,13.82,0.20589078107090225,1.103226567105522
2023.0,7.0,25.0,18.0,21.11,75.31,12.56,6.01,1.61,-1.35,1.15,4.009657804008579,10.65,10.55,0.23122032094317996,0.9271143643151898
2023.0,7.0,25.0,19.0,31.03,67.78,10.87,6.17,2.07,-0.96,0.73,6.548652351089527,10.18,8.7,0.2081013590961192,1.362783454509727
2023.0,7.0,25.0,20.0,40.96,60.24,13.47,6.34,2.52,-0.56,0.31,9.726278688220852,10.5,8.35,0.18495169477648601,1.7988917272548637
2023.0,7.0,25.0,21.0,50.89,52.71,12.47,6.5,2.98,-0.16,-0.1,13.810555871751093,13.17,7.1,0.16183273292942524,2.2350000000000003
2023.0,7.0,25.0,22.0,42.88,58.87,8.17,6.51,2.56,-0.31,-0.18,10.419154197796633,11.25,9.33,0.18074545603405928,1.8832147769699354
2023.0,7.0,25.0,23.0,34.87,65.03,9.64,6.51,2.15,-0.45,-0.26,7.670257039036989,10.35,10.3,0.19965817913869333,1.5314295539398706
2019.0,11.0,5.0,0.0,23.36,47.67,17.17,8.85,2.6,-0.13,-0.59,0.858615336122405,2.92,30.75,0.3328146518745218,0.28575976418570376
2019.0,11.0,5.0,1.0,15.96,66.63,19.78,8.99,2.53,0.12,0.2,0.4196952254247302,2.45,33.7,0.46518649579188975,0.1952365512159175
2019.0,11.0,5.0,2.0,8.56,85.59,19.27,9.13,2.46,0.36,1.0,0.17523533902493857,2.82,41.85,0.5975583397092578,0.10471333824613119
2019.0,11.0,5.0,3.0,1.15,104.56,19.01,9.27,2.39,0.6,1.8,0.01927095426050615,2.75,48.88,0.73,0.01406779661016949
2019.0,11.0,5.0,4.0,3.21,90.76,18.51,8.51,2.35,0.18,1.65,0.06197000055287771,7.88,51.35,0.6336534047436879,0.039267501842299185
2019.0,11.0,5.0,5.0,5.27,76.97,17.93,7.74,2.3,-0.25,1.51,0.11996652621644593,21.2,47.22,0.5373766258607497,0.06446720707442889
2019.0,11.0,5.0,6.0,7.33,63.18,17.22,6.97,2.25,-0.67,1.36,0.20328030698924504,49.92,41.95,0.44109984697781174,0.08966691230655859
2019.0,11.0,5.0,7.0,27.5,44.59,18.83,6.82,1.64,0.37,1.52,1.0806030184318847,59.7,25.93,0.3113112088752869,0.33640383198231394
2019.0,11.0,5.0,8.0,47.67,26.0,15.8,6.66,1.02,1.41,1.68,3.2124972072374987,72.7,25.25,0.18152257077276204,0.5831407516580692
2019.0,11.0,5.0,9.0,67.85,7.42,15.21,6.5,0.4,2.45,1.84,16.022006424694457,82.02,27.4,0.05180374904361132,0.83
2019.0,11.0,5.0,10.0,67.47,7.75,15.0,6.48,-0.16,2.26,1.9,15.253867248300251,80.7,28.25,0.05410768936495791,0.8253515106853353
2019.0,11.0,5.0,11.0,67.09,8.09,15.32,6.46,-0.72,2.08,1.96,14.530488835280718,74.08,34.78,0.05648144605967865,0.8207030213706706
2019.0,11.0,5.0,12.0,66.72,8.43,15.42,6.43,-1.28,1.9,2.02,13.867539699558213,39.12,69.08,0.05885520275439938,0.8161768607221813
2019.0,11.0,5.0,13.0,45.93,29.68,14.87,6.5,-0.87,2.03,1.88,2.711461883147445,2.58,97.15,0.20721499617444528,0.561855563743552
2019.0,11.0,5.0,14.0,25.15,50.93,13.5,6.57,-0.45,2.17,1.74,0.8652373689989648,2.08,92.08,0.3555747895944912,0.307656595431098
2019.0,11.0,5.0,15.0,4.36,72.18,12.17,6.63,-0.03,2.3,1.61,0.1058377421398962,1.75,87.43,0.5039345830145371,0.05333529845246869
2019.0,11.0,5.0,16.0,6.2,68.9,12.18,6.66,-0.82,1.47,1.4,0.15766795053154345,2.55,89.07,0.48103481254781943,0.07584377302873987
2019.0,11.0,5.0,17.0,8.04,65.62,11.72,6.69,-1.61,0.64,1.19,0.2146796000546934,2.53,80.92,0.45813504208110173,0.09835224760501105
2019.0,11.0,5.0,18.0,9.88,62.34,12.53,6.72,-2.4,-0.19,0.98,0.2776905505222108,2.63,75.8,0.4352352716143841,0.12086072218128226
2019.0,11.0,5.0,19.0,18.96,57.25,12.3,6.72,-0.73,-0.09,1.79,0.5802749152533558,2.75,71.62,0.3996987375669472,0.23193515106853357
2019.0,11.0,5.0,20.0,28.05,52.16,11.89,6.72,0.94,0.0,2.6,0.9422501986908606,2.4,61.23,0.3641622035195103,0.3431319086219602
2019.0,11.0,5.0,21.0,37.14,47.07,11.49,6.72,2.61,0.1,3.41,1.3825111924617794,3.38,65.1,0.32862566947207345,0.45432866617538686
2019.0,11.0,5.0,22.0,24.78,74.16,11.59,7.06,2.63,-0.3,2.48,0.5854671547056637,2.47,61.4,0.5177582249426166,0.3031304347826087
2019.0,11.0,5.0,23.0,12.43,101.26,11.91,7.4,2.66,-0.69,1.55,0.2150820466475285,2.55,53.4,0.706960596786534,0.1520545320560059
2023.0,8.0,23.0,0.0,25.1,56.14,11.05,18.87,-1.49,1.08,-0.94,2.2729102319235173,8.75,2.78,0.209883688728884,0.477046783625731
2023.0,8.0,23.0,1.0,32.69,43.96,11.26,18.79,-0.86,0.47,-0.19,3.7804039419536477,3.3,6.57,0.16434782608695656,0.6213011695906431
2023.0,8.0,23.0,2.0,40.29,31.77,11.71,18.72,-0.23,-0.13,0.56,6.447049772743215,0.88,12.98,0.11877457767931322,0.7657456140350877
2023.0,8.0,23.0,3.0,47.88,19.59,11.49,18.65,0.4,-0.74,1.31,12.425122416954983,0.43,13.4,0.07323871503738577,0.9099999999999999
2023.0,8.0,23.0,4.0,43.34,25.74,10.36,18.96,1.2,-0.33,0.89,8.559755011671841,0.3,11.8,0.09623096095264469,0.8237134502923976
2023.0,8.0,23.0,5.0,38.79,31.89,12.01,19.28,2.01,0.08,0.47,6.183668947288955,0.37,10.7,0.11922320686790364,0.737236842105263
2023.0,8.0,23.0,6.0,34.25,38.03,10.84,19.6,2.81,0.49,0.06,4.5784156871241075,1.33,9.32,0.1421780670174467,0.6509502923976607
2023.0,8.0,23.0,7.0,31.76,37.78,11.83,19.26,3.46,0.5,0.68,4.2736554999115395,3.3,14.75,0.14124342287455,0.603625730994152
2023.0,8.0,23.0,8.0,29.28,37.52,11.54,18.91,4.12,0.51,1.3,3.9672467514834615,4.1,15.6,0.14027139296593744,0.5564912280701754
2023.0,8.0,23.0,9.0,26.79,37.26,10.38,18.57,4.77,0.52,1.92,3.655197378448406,4.77,17.3,0.13929936305732485,0.5091666666666665
2023.0,8.0,23.0,10.0,22.08,40.71,10.72,18.84,3.87,0.82,1.96,2.7572677246579507,4.57,17.88,0.15219745222929937,0.41964912280701744
2023.0,8.0,23.0,11.0,17.38,44.16,9.97,19.1,2.97,1.13,2.0,2.0007907822539885,4.58,16.0,0.1650955414012739,0.3303216374269005
2023.0,8.0,23.0,12.0,12.67,47.62,10.41,19.37,2.07,1.44,2.04,1.3525962976516943,3.35,19.82,0.1780310163389643,0.2408040935672514
2023.0,8.0,23.0,13.0,8.48,55.82,13.2,19.16,1.08,0.78,2.07,0.7723016996601051,2.27,18.05,0.20868734422597618,0.16116959064327482
2023.0,8.0,23.0,14.0,4.3,64.02,11.4,18.95,0.08,0.12,2.1,0.34145521992430206,2.27,16.38,0.2393436721129881,0.0817251461988304
2023.0,8.0,23.0,15.0,0.11,72.22,11.41,18.74,-0.92,-0.53,2.13,0.007743123240199262,2.0,17.95,0.27,0.002090643274853801
2023.0,8.0,23.0,16.0,14.04,64.3,13.35,19.21,-0.08,-0.33,1.41,1.1100361063363435,1.68,16.12,0.24039047355303242,0.2668421052631579
2023.0,8.0,23.0,17.0,27.97,56.38,10.69,19.68,0.75,-0.12,0.68,2.5220190655276085,1.9,15.85,0.21078094710606482,0.5315935672514619
2023.0,8.0,23.0,18.0,41.9,48.46,11.02,20.15,1.59,0.09,-0.05,4.395533392312552,1.93,14.78,0.18117142065909722,0.7963450292397659
2023.0,8.0,23.0,19.0,37.56,55.46,9.87,20.27,1.72,0.3,-1.29,3.442918076401351,2.05,13.8,0.20734145666020495,0.713859649122807
2023.0,8.0,23.0,20.0,33.22,62.46,11.22,20.39,1.84,0.5,-2.53,2.703825245644758,2.1,13.1,0.2335114926613127,0.6313742690058479
2023.0,8.0,23.0,21.0,28.87,69.46,8.42,20.51,1.97,0.71,-3.76,2.1129682701562174,2.4,13.6,0.2596815286624204,0.5486988304093566
2023.0,8.0,23.0,22.0,33.99,56.41,6.68,19.72,1.88,1.01,-2.15,3.063204810597801,2.38,9.17,0.2108931044032124,0.6460087719298245
2023.0,8.0,23.0,23.0,39.11,43.37,6.41,18.93,1.8,1.31,-0.54,4.584366859271224,3.3,7.02,0.1621420659097203,0.7433187134502923
2024.0,1.0,12.0,0.0,0.13,106.56,17.82,11.07,-0.21,-1.64,-0.31,0.0017101922938570799,5.47,25.52,1.71,0.0029244288224956065
2024.0,1.0,12.0,1.0,0.14,105.71,17.99,10.28,0.23,-1.0,0.02,0.001856554777342764,7.97,24.53,1.6963597972972972,0.0031493848857645
2024.0,1.0,12.0,2.0,0.15,104.86,21.01,9.49,0.68,-0.37,0.35,0.0020052901029219594,7.0,27.32,1.6827195945945945,0.003374340949033392
2024.0,1.0,12.0,3.0,0.16,104.01,23.35,8.7,1.12,0.26,0.67,0.002156456445263818,9.1,29.0,1.669079391891892,0.003599297012302285
2024.0,1.0,12.0,4.0,1.9,96.15,21.86,8.78,1.42,0.07,0.51,0.027701297858592728,10.88,29.82,1.5429476351351352,0.042741652021089635
2024.0,1.0,12.0,5.0,3.64,88.29,21.74,8.87,1.71,-0.12,0.35,0.0577943883037206,13.58,41.55,1.4168158783783784,0.08188400702987698
2024.0,1.0,12.0,6.0,5.37,80.43,23.63,8.95,2.0,-0.31,0.2,0.09359486488732809,19.18,39.2,1.2906841216216218,0.12080140597539543
2024.0,1.0,12.0,7.0,13.06,75.3,26.52,8.79,2.01,-0.36,0.31,0.24313305406929617,35.3,41.15,1.2083614864864864,0.293792618629174
2024.0,1.0,12.0,8.0,20.76,70.16,26.01,8.63,2.03,-0.41,0.42,0.4147950580762216,54.08,38.5,1.1258783783783781,0.46700878734622153
2024.0,1.0,12.0,9.0,28.45,65.03,24.14,8.47,2.05,-0.47,0.53,0.6132877942973689,63.18,40.42,1.0435557432432432,0.64
2024.0,1.0,12.0,10.0,19.04,73.55,25.01,8.64,1.58,-1.13,0.22,0.36289423725023634,75.95,53.23,1.180278716216216,0.4283163444639719
2024.0,1.0,12.0,11.0,9.64,82.07,22.55,8.8,1.12,-1.79,-0.08,0.1646601115027581,77.42,52.0,1.3170016891891891,0.21685764499121266
2024.0,1.0,12.0,12.0,0.23,90.59,24.42,8.97,0.66,-2.46,-0.38,0.0035591261466866265,45.85,75.07,1.4537246621621622,0.0051739894551845345
2024.0,1.0,12.0,13.0,0.16,94.86,23.38,9.29,0.66,-1.4,0.12,0.0023644637873907843,13.12,87.7,1.5222466216216215,0.003599297012302285
2024.0,1.0,12.0,14.0,0.09,99.13,21.64,9.62,0.67,-0.35,0.62,0.0012727209938004438,15.55,69.95,1.590768581081081,0.002024604569420035
2024.0,1.0,12.0,15.0,0.02,103.39,22.91,9.95,0.67,0.7,1.12,0.0002711735115483724,21.77,67.05,1.6591300675675675,0.00044991212653778563
2024.0,1.0,12.0,16.0,0.34,102.63,20.9,9.6,0.64,0.7,1.24,0.004644087490039616,24.08,63.25,1.6469341216216213,0.007648506151142356
2024.0,1.0,12.0,17.0,0.66,101.86,21.33,9.25,0.6,0.69,1.35,0.009083141261010655,18.88,72.12,1.6345777027027026,0.014847100175746926
2024.0,1.0,12.0,18.0,0.98,101.09,23.88,8.9,0.56,0.68,1.47,0.013589819354934463,17.35,66.08,1.6222212837837837,0.022045694200351497
2024.0,1.0,12.0,19.0,6.01,92.51,22.24,9.08,0.85,0.54,1.27,0.09107131253243281,16.05,64.3,1.484535472972973,0.13519859402460457
2024.0,1.0,12.0,20.0,11.03,83.93,23.14,9.26,1.14,0.39,1.07,0.18422734530538426,15.5,69.1,1.3468496621621622,0.24812653778558877
2024.0,1.0,12.0,21.0,16.06,75.36,21.01,9.45,1.43,0.24,0.87,0.298744869629325,13.52,61.0,1.2093243243243244,0.3612794376098418
2024.0,1.0,12.0,22.0,19.37,67.71,20.76,9.39,1.63,0.16,0.75,0.4010260749398635,14.77,62.95,1.0865624999999999,0.43573989455184536
2024.0,1.0,12.0,23.0,22.68,60.07,19.74,9.33,1.82,0.07,0.63,0.5292748076092954,13.8,53.27,0.9639611486486487,0.5102003514938489
2020.0,12.0,13.0,0.0,134.02,8.08,42.23,5.57,0.25,1.75,-1.33,14.755706211484517,30.97,24.4,0.11314662273476112,1.6695583238958098
2020.0,12.0,13.0,1.0,139.38,14.39,40.24,5.54,-0.06,1.52,-1.78,8.616708738354438,20.0,31.45,0.20150741350906098,1.7363306908267269
2020.0,12.0,13.0,2.0,144.75,20.7,42.67,5.52,-0.37,1.3,-2.24,6.220853499704082,5.88,34.5,0.2898682042833608,1.8032276330690826
2020.0,12.0,13.0,3.0,150.11,27.01,42.3,5.49,-0.68,1.08,-2.69,4.944094779711218,7.72,35.4,0.37822899505766067,1.87
